Дайте визначення юридичній відповідальності.,Застосування державою передбачених законом примусових заходів (санкцій) до правопорушника.
Який вид відповідальності настає за злочини?,Кримінальна відповідальність.
Який вид відповідальності має переважно компенсаційний характер і настає за завдання майнової шкоди?,Цивільно-правова відповідальність.
За порушення трудової або навчальної дисципліни настає _____ відповідальність.,дисциплінарна
"З якого віку, за загальним правилом, настає кримінальна та адміністративна відповідальність в Україні?",З 16 років.
За найтяжчі злочини кримінальна відповідальність неповнолітніх може наставати з _____ років.,14
Які дві основні форми вини існують у кримінальному праві?,Умисел та необережність.
На які два види поділяється умисел?,Прямий і непрямий.
Що таке прямий умисел?,"Особа усвідомлювала суспільну небезпеку діяння, передбачала його наслідки та бажала їх настання."
Що таке непрямий умисел?,"Особа усвідомлювала суспільну небезпеку діяння, передбачала його наслідки і хоча не бажала, але свідомо допускала їх настання."
На які два види поділяється необережність?,Злочинна самовпевненість та злочинна недбалість.
Що таке злочинна самовпевненість?,"Особа передбачала можливість настання шкідливих наслідків свого діяння, але легковажно розраховувала на їх відвернення."
Що таке злочинна недбалість?,"Особа не передбачала можливості настання шкідливих наслідків, хоча повинна була і могла їх передбачити."
"Який емоційний стан має кримінально-правове значення і враховується як пом'якшувальна обставина при кваліфікації деяких злочинів (напр., ст. 116, 117 ККУ)?",Афект (стан сильного душевного хвилювання).
Що таке правоздатність фізичної особи?,"Це можливість особи мати юридичні права і обов'язки, яка виникає від народження."
Що таке дієздатність фізичної особи?,Це можливість своїми діями набувати юридичних прав і обов'язків та нести юридичну відповідальність.
Що таке юридичний факт?,"Це життєві обставини, внаслідок яких виникають, змінюються або припиняються правовідносини."
На які дві великі групи поділяються юридичні факти?,Події (не залежать від волі людей) та дії (залежать від волі людей).
Що таке презумпція невинуватості?,"Правовий принцип, за яким особа вважається невинуватою, доки її вину не буде доведено в законному порядку і встановлено обвинувальним вироком суду."
"Згідно з Модельною навчальною програмою, другий розділ курсу «Правознавство» для 9-го класу має назву «_____».",Забезпечення прав людини — основна мета діяльності держави
В якому місті розташований Європейський Суд з Прав Людини (ЄСПЛ)?,У Страсбурзі.
На якому стандартизованому документі подається заява до ЄСПЛ?,На стандартизованому формулярі.
Яким способом необхідно відправити заповнений та підписаний формуляр заяви до ЄСПЛ?,Поштою.
"Чи розглядає Уповноважений з прав людини звернення, які є предметом судового розгляду?","Ні, такі звернення не підлягають розгляду Уповноваженим."
"Назвіть одну з функцій Омбудсмана, що полягає у внесенні пропозицій щодо вдосконалення законодавства.",Забезпечення превентивного та стратегічного захисту прав.
"Який документ, крім Конституції України, є основним міжнародно-правовим актом з питань захисту прав людини, з яким ознайомлюються учні 9-го класу?",Загальна декларація прав людини.
Поняття «правопорушення» та «юридична відповідальність» вивчаються в межах розділу 1 Модельної навчальної програми «_____».,Основи теорії держави та права
"Який вид проступку посягає на трудову, військову або навчальну дисципліну?",Дисциплінарний проступок.
"Правопорушення, що виникають у сфері майнових та пов'язаних з ними особистих немайнових відносин, називаються _____ проступками.",цивільно-правовими
Що таке деліктоздатність?,Здатність особи нести юридичну відповідальність за вчинене правопорушення.
Коли виникає деліктоздатність юридичних осіб?,"З моменту їх створення (наприклад, офіційної реєстрації)."
Що таке осудність як вимога до суб'єкта правопорушення?,"Здатність особи усвідомлювати свої дії, керувати ними та розуміти їх небезпечність у момент скоєння правопорушення."
"Якщо право — це «мінімум моралі», то хто, згідно з цією позицією, захищає цю важливу частину моралі?",Держава.
"Суперечності між правом і мораллю можуть бути викликані тим, що мораль є більш гнучкою, а процес правотворчості є повільним і складним. Внаслідок цього право часто _____ від розвитку норм моралі.",відстає
"В яких випадках, згідно з джерелом, мотив і мета злочину стають обов'язковими ознаками його складу?",Коли вони прямо названі в диспозиції статті Кримінального кодексу.
"Як називається навчальний курс для 9-го класу, метою якого є формування в учнів базових правових знань і практичних умінь?",Правознавство.
"До якого суду може звернутись Уповноважений з прав людини для захисту прав осіб, які неспроможні зробити це самостійно?","До загального суду (наприклад, окружного)."
За якою адресою в Києві розташована громадська приймальня Уповноваженого з прав людини?,"вул. Інститутська, 21/8, м. Київ."
У який час працює громадська приймальня Уповноваженого ВР з прав людини?,З понеділка по п’ятницю з 9:00 до 17:00.
Що є фактичним змістом правовідносин?,"Реальна поведінка та дії суб'єктів, що відповідають їхнім правам та обов'язкам."
